User_ID;Location;Age;AGE_GROUP
92974;saopaulo,saopaulo,brazil;38;30-39 Anos
234051;riodejaneiro,riodejaneiro,brazil;28;20-29 Anos
234463;cascavel,parana,brazil;42;40-49 Anos
234500;riodejaneiro,riodejaneiro,brazil;30;30-39 Anos
234518;saopaulo,saopaulo,brazil;24;20-29 Anos
234583;saopaulo,saopaulo,brazil;37;30-39 Anos
234875;campinas,saopaulo,brazil;20;20-29 Anos
234997;paranagua,parana,brazil;24;20-29 Anos
93400;goiania,goias,brazil;48;40-49 Anos
93885;itanhaem,sp,brazil;32;30-39 Anos
95100;portoalegre,rs,brazil;28;20-29 Anos
95477;florianopolis,sc,brazil;21;20-29 Anos
95771;riodejaneiro,riodejaneiro,brazil;28;20-29 Anos
95811;portoalegre,riograndedosul,brazil;30;30-39 Anos
95856;mineiros,goias,brazil,brazil;15;10-19 Anos
95893;belohorizonte,minasgerais,brazil;48;40-49 Anos
95896;saopaulo,saopaulo,brazil;27;20-29 Anos
95939;piracicaba,saopaulo,brazil;37;30-39 Anos
96234;saopaulo,saopaulo,brazil;77;70-79 Anos
96235;goiania,goias,brazil;19;10-19 Anos
96269;saopaulo,saopaulo,brazil;28;20-29 Anos
96270;saopaulo,saopaulo,brazil;28;20-29 Anos
96303;saopaulo,saopaulo,brazil;22;20-29 Anos
96304;jundiai,saopaulo,brazil;53;50-59 Anos
96583;goiania,goias,brazil;44;40-49 Anos
235399;taboaodaserra,saopaulo,brazil;21;20-29 Anos
236387;saopaulo,saopaulo,brazil;31;30-39 Anos
236506;saopaulo,na,brazil;37;30-39 Anos
236661;bauru,saopaulo,brazil;18;10-19 Anos
236681;americana,saopaulo,brazil;47;40-49 Anos
97690;taguatinga,brazil,brazil;53;50-59 Anos
97707;saopaulo,saopaulo,brazil;30;30-39 Anos
98661;belohorizonte,minasgerais,brazil;44;40-49 Anos
98751;recife,pernambuco,brazil;21;20-29 Anos
99106;saopaulo,saopaulo,brazil;43;40-49 Anos
237069;saopaulo,saopaulo,brazil;48;40-49 Anos
237259;fortaleza,ceara,brazil;18;10-19 Anos
237901;araraquara,na,brazil;19;10-19 Anos
237936;indaiatuba,saopaulo,brazil;29;20-29 Anos
238136;saopaulo,saopaulo,brazil;52;50-59 Anos
99457;florianopolis,santacatarina,brazil;47;40-49 Anos
99551;florianopolis,santacatarina,brazil;18;10-19 Anos
99690;riodejaneiro,rj,brazil;33;30-39 Anos
99985;belohorizonte,minasgerais,brazil;22;20-29 Anos
100118;saopaulo,saopaulo,brazil;46;40-49 Anos
100126;saopaulo,saopaulo,brazil;20;20-29 Anos
100155;curitiba,hamburg,brazil;27;20-29 Anos
100297;vicosa,minasgerais,brazil;45;40-49 Anos
100298;recife,pernambuco,brazil;15;10-19 Anos
100319;araraquara,saopaulo,brazil;39;30-39 Anos
100485;campinas,saopaulo,brazil;50;50-59 Anos
100536;saopaulo,saopaulo,brazil;28;20-29 Anos
100751;belohoriozonte,yukonterritory,brazil;20;20-29 Anos
239325;saopaulo,saarland,brazil;34;30-39 Anos
239328;campinas,saopaulo,brazil;15;10-19 Anos
239349;londrina,parana,brazil;31;30-39 Anos
239437;riodejaneiro,riodejaneiro,brazil;28;20-29 Anos
239469;saopaulo,saopaulo,brazil;58;50-59 Anos
240806;santamaria,riograndedosul,brazil;32;30-39 Anos
240807;portoalegre,riograndedosul,brazil;30;30-39 Anos
101665;riodejaneiro,riodejaneiro,brazil;35;30-39 Anos
101768;riodejaneiro,riodejaneiro,brazil;21;20-29 Anos
102124;goiania,goias,brazil;19;10-19 Anos
102745;riodejaneiro,na,brazil;24;20-29 Anos
241921;saopaulo,saopaulo,brazil;32;30-39 Anos
242905;americana,saopaulo,brazil;27;20-29 Anos
242988;saopaulo,saopaulo,brazil;25;20-29 Anos
103726;joaopessoa,paraiba,brazil;32;30-39 Anos
103737;saopaulo,saarland,brazil;26;20-29 Anos
103884;suzano,alaska,brazil;30;30-39 Anos
104105;riodejaneiro,riodejaneiro,brazil;46;40-49 Anos
104167;portoalegre,riograndedosul,brazil;29;20-29 Anos
105037;curitiba,na,brazil;27;20-29 Anos
105123;novafriburgo,brasil,brazil;15;10-19 Anos
105260;saopaulo,saopaulo,brazil;59;50-59 Anos
105315;curitiba,na,brazil;37;30-39 Anos
243640;riodejaneiro,riodejaneiro,brazil;33;30-39 Anos
243855;saopaulo,saopaulo,brazil;38;30-39 Anos
244210;guarulhos,na,brazil;27;20-29 Anos
244223;joaopessoa,paraiba,brazil;29;20-29 Anos
244479;campinas,saopaulo,brazil;15;10-19 Anos
244539;saopaulo,saopaulo,brazil;38;30-39 Anos
244567;riodejaneiro,riodejaneiro,brazil;24;20-29 Anos
105396;vitoria,es,brazil;26;20-29 Anos
106784;franca,saopaulo,brazil;30;30-39 Anos
106800;saopaulo,saopaulo,brazil;41;40-49 Anos
106804;campograndems,matogrossodosul,brazil;52;50-59 Anos
245345;camaragibe,pernambuco,nordeste,brazil;22;20-29 Anos
245389;campinas,saopaulo,brazil;25;20-29 Anos
245685;riodejaneiro,riodejaneiro,brazil;25;20-29 Anos
245707;curtiba,parana,brazil;47;40-49 Anos
245722;valinhos,saopaulo,brazil;21;20-29 Anos
245775;saopaulo,saopaulo,brazil;17;10-19 Anos
246094;saopaulo,saopaulo,brazil;22;20-29 Anos
246139;saocaetanodosul,saopaulo,brazil;21;20-29 Anos
246204;niteroi,riodejaneiro,brazil;38;30-39 Anos
246240;saopaulo,saopaulo,brazil;55;50-59 Anos
246661;niteroi,riodejaneiro,brazil;39;30-39 Anos
246663;saopaulo,santoandre,brazil;40;40-49 Anos
247074;saopaulo,saopaulo,brazil;32;30-39 Anos
247118;niteroi,riodejaneiro,brazil;21;20-29 Anos
247121;riodejaneiro,riodejaneiro,brazil;18;10-19 Anos
107433;cascavel,parana,brazil;20;20-29 Anos
107562;campinagrande,paraiba,brazil;23;20-29 Anos
107708;riodejaneiro,riodejaneiro,brazil;23;20-29 Anos
107833;saopaulo,na,brazil;43;40-49 Anos
108529;londrina,parana,brazil;21;20-29 Anos
108678;saovicente,southamerica,brazil;19;10-19 Anos
109199;saopaulo,saopaulo,brazil;21;20-29 Anos
109202;portoseguro,bahia,brazil;29;20-29 Anos
109204;novalima,puertorico,brazil;23;20-29 Anos
109205;goiania,goias,brazil;40;40-49 Anos
109240;saopaulo,saopaulo,brazil;23;20-29 Anos
109246;saopaulo,saopaulo,brazil;32;30-39 Anos
109297;ijui,riograndedosul,brazil;27;20-29 Anos
247333;navegantes,santacatarina,brazil;26;20-29 Anos
247342;salvador,salvador,brazil;22;20-29 Anos
247368;saojosedoscampos,saopaulo,brazil;27;20-29 Anos
247387;brasilia,na,brazil;25;20-29 Anos
247395;saopaulo,saopaulo,brazil;27;20-29 Anos
247403;saobernardodocampo,saopaulo,brazil;27;20-29 Anos
247841;vilavelha,espiritosanto,brazil;34;30-39 Anos
248476;belohorizonte,minasgerais,brazil;41;40-49 Anos
248550;riodejaneiro,na,brazil;28;20-29 Anos
248578;saopaulo,saopaulo,brazil;29;20-29 Anos
249038;riodejaneiro,riodejaneiro,brazil;38;30-39 Anos
109477;riodejaneiro,riodejaneiro,brazil;21;20-29 Anos
109773;salvador,brandenburg,brazil;19;10-19 Anos
109968;saopaulo,saopaulo,brazil;61;60-69 Anos
110199;curitiba,parana,brazil;58;50-59 Anos
110444;saopaulo,saopaulo,brazil;19;10-19 Anos
110467;portoalegre,na,brazil;37;30-39 Anos
110547;vilavelhaes,vilavelha,brazil;34;30-39 Anos
110772;ribeiraopreto,saopaulo,brazil;34;30-39 Anos
111020;saopaulo,saopaulo,brazil;14;10-19 Anos
111071;saopaulo,saopaulo,brazil;31;30-39 Anos
111100;salvador,bahia,brazil;18;10-19 Anos
111160;saopaulo,saopaulo,brazil;27;20-29 Anos
111298;saopaulo,na,brazil;23;20-29 Anos
249472;campinas,saopaulo,brazil;29;20-29 Anos
249827;saopaulo,sp,brazil;30;30-39 Anos
249855;saopaulo,saopaulo,brazil;16;10-19 Anos
249856;goiania,goias,brazil;17;10-19 Anos
250917;osasco,saopaulo,brazil;28;20-29 Anos
111582;saopaulo,saopaulo,brazil;30;30-39 Anos
111611;fortaleza,ceara,brazil;24;20-29 Anos
111641;saopaulo,sp,brazil;30;30-39 Anos
111761;cruzalta,california,brazil;46;40-49 Anos
111821;rondonopolis,matogrosso,brazil;38;30-39 Anos
111900;belohorizonte,minasgerais,brazil;33;30-39 Anos
111925;vicosa,minasgerais,brazil;32;30-39 Anos
112072;sorocaba,saopaulo,brazil;46;40-49 Anos
113162;marinadelrey,california,brazil;31;30-39 Anos
113181;campinas,saopaulo,brazil;21;20-29 Anos
113186;saopaulo,saopaulo,brazil;32;30-39 Anos
113244;barueri,saopaulo,brazil;44;40-49 Anos
113276;riodejaneiro,riodejaneiro,brazil;58;50-59 Anos
113282;saopaulo,saopaulo,brazil;31;30-39 Anos
113311;niteroi,riodejaneiro,brazil;53;50-59 Anos
251303;brasilia,df,brazil;49;40-49 Anos
251655;campinas,saopaulo,brazil;30;30-39 Anos
251675;saovicente,saopaulo,brazil;28;20-29 Anos
251676;riodejaneiro,riodejaneiro,brazil;31;30-39 Anos
251723;riodejaneiro,riodejaneiro,brazil;31;30-39 Anos
251885;campinas,saopaulo,brazil;21;20-29 Anos
251893;saopaulo,saopaulo,brazil;37;30-39 Anos
252294;riodejaneiro,riodejaneiro,brazil;21;20-29 Anos
252296;saopaulo,saopaulo,brazil;30;30-39 Anos
253121;riodejaneiro,rj,brazil;29;20-29 Anos
253186;portoalegre,riograndedosul,brazil;27;20-29 Anos
113943;saopaulo,saopaulo,brazil;29;20-29 Anos
115272;saopaulo,saopaulo,brazil;45;40-49 Anos
115433;fortaleza,nordeste,brazil;19;10-19 Anos
253684;saopaulo,saopaulo,brazil;19;10-19 Anos
253794;portoalegre,riograndedosul,brazil;26;20-29 Anos
253898;portoalegre,riograndedosul,brazil;34;30-39 Anos
115508;saopaulo,saopaulo,brazil;43;40-49 Anos
115774;campinas,saopaulo,brazil;43;40-49 Anos
115861;saopaulo,saopaulo,brazil;17;10-19 Anos
117722;brazil,indiana,usa;29;20-29 Anos
117823;goiania,goias,brazil;25;20-29 Anos
118082;riodejaneiro,riodejaneiro,brazil;18;10-19 Anos
118244;montesiao,basilicata,brazil;9;06-09 Anos
118247;campinas,saopaulo,brazil;18;10-19 Anos
118248;camposdosgoytacazes,riodejaneiro,brazil;19;10-19 Anos
118257;portoalegre,riograndedosul,brazil;22;20-29 Anos
118259;saopaulo,saopaulo,brazil;27;20-29 Anos
118271;curitiba,na,brazil;48;40-49 Anos
118496;setelagoas,minasgerais,brazil;16;10-19 Anos
119352;saopaulo,saopaulo,brazil;30;30-39 Anos
119481;saopaulo,saopaulo,brazil;20;20-29 Anos
255353;uberlandia,brazil,brazil;25;20-29 Anos
255594;saopaulo,saopaulo,brasil;30;30-39 Anos
255932;curitiba,parana,brazil;33;30-39 Anos
255987;riodejaneiro,riodejaneiro,brazil;22;20-29 Anos
256145;belohorizonte,minasgerais,brazil;47;40-49 Anos
256430;saopaulo,saopaulo,brazil;25;20-29 Anos
256662;salvador,bahia,brazil;35;30-39 Anos
257150;belohorizonte,minasgerais,brazil;42;40-49 Anos
257159;navegantes,santacatarina,brazil;19;10-19 Anos
257176;saopaulo,saopaulo,brazil;41;40-49 Anos
257251;riodejaneiro,riodejaneiro,brazil;35;30-39 Anos
119944;belohorizonte,minasgerais,brazil;29;20-29 Anos
120255;campogrande,ms,brazil;55;50-59 Anos
120269;fortelza,ceara,brazil;17;10-19 Anos
120352;saopaulo,saopaulo,brazil;49;40-49 Anos
120515;portoalegre,riograndedosul,brazil;42;40-49 Anos
120724;riodejaneiro,riodejaneiro,brazil;18;10-19 Anos
120972;saopaulo,saopaulo,brazil;25;20-29 Anos
121017;campinas,saopaulo,brazil;46;40-49 Anos
121121;saovicente,rhodeisland,brazil;22;20-29 Anos
121298;saopaulo,saopaulo,brazil;25;20-29 Anos
257392;juizdefora,minasgerais,brazil;24;20-29 Anos
257686;niteroi,riodejaneiro,brazil;50;50-59 Anos
257764;santamaria,riograndedosul,brazil;19;10-19 Anos
258248;santoandre,saopaulo,brazil;21;20-29 Anos
258560;saopaulo,saopaulo,brazil;19;10-19 Anos
258596;marilia,saopaulo,brazil;32;30-39 Anos
258725;goiania,goias,brazil;20;20-29 Anos
258792;curitiba,parana,brazil;29;20-29 Anos
259024;campinas,saopaulo,brazil;15;10-19 Anos
259064;belohorizonte,minasgerais,brazil;32;30-39 Anos
259068;presidenteprudente,saopaulo,brazil;25;20-29 Anos
259268;saopaulo,saopaulo,brazil;25;20-29 Anos
259269;saopaulo,saopaulo,brazil;25;20-29 Anos
121652;salvadorbahia,na,brazil;32;30-39 Anos
121712;santaritadopassaquatro,saopaulo,brazil;33;30-39 Anos
121742;saopaulo,saopaulo,brazil;26;20-29 Anos
121750;piracicaba,saopaulo,brazil;29;20-29 Anos
121816;riodejaneiro,riodejaneiro,brazil;23;20-29 Anos
121911;saopaulo,saarland,brazil;20;20-29 Anos
122120;belohorizonte,minasgerais,brazil;25;20-29 Anos
122160;brasilia,distritofederal,brazil;26;20-29 Anos
122301;angradosreis,na,brazil;33;30-39 Anos
122338;brasilia,df,brazil;24;20-29 Anos
122547;curitiba,parana,brazil;41;40-49 Anos
122603;salvador,bahia,brazil;21;20-29 Anos
122615;saopaulo,saopaulo,brazil;15;10-19 Anos
122823;saopaulo,na,brazil;46;40-49 Anos
122993;saopaulo,saopaulo,brazil;20;20-29 Anos
123001;riodejaneiro,rj,brazil;24;20-29 Anos
123363;belohorizonte,minasgerais,brazil;21;20-29 Anos
259729;salvador,bahia,brazil;42;40-49 Anos
259963;ribeiraopreto,saopaulo,brazil;30;30-39 Anos
260790;vinhedo,saopaulo,brazil;40;40-49 Anos
260839;saopaulo,saopaulo,brazil;39;30-39 Anos
123904;campinassp,na,brazil;41;40-49 Anos
124137;fortaleza,ceara,brazil;29;20-29 Anos
124292;riodejaneiro,riodejaneiro,brazil;23;20-29 Anos
124427;uberaba,minasgerais,brazil;23;20-29 Anos
124670;saopaulo,saopaulo,brazil;31;30-39 Anos
125505;saopaulo,saopaulo,brazil;54;50-59 Anos
261623;saopaulo,saopaulo,brazil;45;40-49 Anos
261624;riodejaneiro,riodejaneiro,brazil;33;30-39 Anos
261816;belohorizonte,minasgerais,brazil;43;40-49 Anos
261883;joaopessoa,paraiba,brazil;39;30-39 Anos
261908;saopaulo,na,brazil;34;30-39 Anos
262100;portoalegre,na,brazil;20;20-29 Anos
262136;campinas,saopaulo,brazil;38;30-39 Anos
262210;brasilia,distritofederal,brazil;25;20-29 Anos
262223;saopaulo,saopaulo,brasil;20;20-29 Anos
262227;campinas,saopaulo,brazil;18;10-19 Anos
262465;saopaulo,saopaulo,brazil;48;40-49 Anos
262717;belem,para,brazil;57;50-59 Anos
262909;riodejaneiro,riodejaneiro,brazil;28;20-29 Anos
263192;osasco,saopaulo,brazil;42;40-49 Anos
263223;brasilia,distritofederal,brazil;74;70-79 Anos
263355;riodejaneiro,riodejaneiro,brazil;67;60-69 Anos
263368;curitiba,parana,brazil;38;30-39 Anos
263372;palegre,princeedwardisland,brazil;40;40-49 Anos
125746;riodejaneiro,riodejaneiro,brazil;23;20-29 Anos
126138;guarulhos,saopaulo,brazil;23;20-29 Anos
126236;ribeiraopreto,saopaulo,brazil;24;20-29 Anos
126323;riodejaneiro,na,brazil;49;40-49 Anos
127293;saopaulo,saopaulo,brazil;45;40-49 Anos
127332;riodejaneiro,riodejaneiro,brazil;65;60-69 Anos
127586;curitiba,abruzzo,brazil;25;20-29 Anos
263406;portoalegre,rs,brazil;26;20-29 Anos
263685;jacarei,saopaulo,brazil;25;20-29 Anos
263728;saopaulo,saopaulo,brazil;41;40-49 Anos
263801;niteroi,riodejaneiro,brazil;16;10-19 Anos
263927;riodejaneiro,riodejaneiro,brazil;54;50-59 Anos
263992;blumenau,santacatarina,brazil;45;40-49 Anos
264201;saopaulo,saopaulo,brazil;34;30-39 Anos
264249;santos,saopaulo,brazil;48;40-49 Anos
264488;saopaulo,saopaulo,brazil;9;06-09 Anos
264489;riodejaneiro,riodejaneiro,brazil;20;20-29 Anos
264591;riodejaneiro,rheinlandpfalz,brazil;22;20-29 Anos
264592;saopaulo,saopaulo,brazil;27;20-29 Anos
264869;santoandre,saopaulo,brazil;22;20-29 Anos
265030;saopaulo,saopaulo,brazil;34;30-39 Anos
265141;trespontas,maine,brazil;24;20-29 Anos
265212;goiania,goias,brazil;47;40-49 Anos
265256;saopaulo,saopaulo,brazil;50;50-59 Anos
127965;saopaulo,saopaulo,brazil;25;20-29 Anos
128096;belohorizonte,minasgerais,brazil;23;20-29 Anos
128219;saopaulo,saopaulo,brazil;20;20-29 Anos
128326;saopaulo,saopaulo,brazil;35;30-39 Anos
128339;riodejaneiro,riodejaneiro,brazil;16;10-19 Anos
129601;mesquita,riodejaneiro,brazil;21;20-29 Anos
265439;portoalegre,rs,brazil;32;30-39 Anos
265989;saopaulo,saopaulo,brazil;19;10-19 Anos
266817;portoalegre,riograndedosul,brazil;23;20-29 Anos
266958;santos,saoppaulo,brazil;21;20-29 Anos
267078;saopaulo,sp,brazil;23;20-29 Anos
129673;saopaulo,sp,brazil;15;10-19 Anos
129691;pindamonhangaba,saopaulo,brazil;19;10-19 Anos
129865;passos,minasgerais,brazil;37;30-39 Anos
130471;riodejaneiro,vermont,brazil;27;20-29 Anos
131353;saopaulo,saopaulo,brazil;16;10-19 Anos
267468;samambaia,distritofederal,brazil;26;20-29 Anos
268253;saobernardodocampo,saopaulo,brazil;29;20-29 Anos
268729;riodejaneiro,riodejaneiro,brazil;52;50-59 Anos
268869;riodejaneiro,riodejaneiro,brazil;21;20-29 Anos
269053;belohorizonte,minasgerais,brazil;30;30-39 Anos
269102;saopaulo,saopaulo,brazil;26;20-29 Anos
131878;belohorizonte,minasgerais,brazil;20;20-29 Anos
131959;cotia,cotia,brazil;55;50-59 Anos
131973;campinas,saopaulo,brazil;18;10-19 Anos
133096;saopaulo,saopaulo,brazil;28;20-29 Anos
133208;belohorizonte,minasgerais,brazil;30;30-39 Anos
133372;portoalegre,riograndedosul,brazil;17;10-19 Anos
270048;riodejaneiro,riodejaneiro,brazil;47;40-49 Anos
271025;curitiba,parana,brazil;35;30-39 Anos
271432;saopaulo,saopaulo,brazil;30;30-39 Anos
133900;riodejaneiro,na,brazil;53;50-59 Anos
133934;ribeiraopreto,saopaulo,brazil;25;20-29 Anos
134327;saopaulo,saopaulo,brazil;33;30-39 Anos
134719;saopaulo,saopaulo,brazil;25;20-29 Anos
135038;riodejaneiro,riodejaneiro,brazil;62;60-69 Anos
135125;saopaulo,saopaulo,brazil;50;50-59 Anos
135192;campogrande,matogrossodosul,brazil;33;30-39 Anos
135220;belohorizonte,minasgerais,brazil;25;20-29 Anos
135683;saopaulo,saopaulo,brazil;16;10-19 Anos
271643;saocarlos,saopaulo,brazil;31;30-39 Anos
271677;maceio,alagoas,brazil;17;10-19 Anos
272000;riodejaneiro,riodejaneiro,brazil;38;30-39 Anos
272008;curitiba,parana,brazil;24;20-29 Anos
272091;pontagrossa,parana,brazil;28;20-29 Anos
272232;saopaulo,saopaulo,brazil;19;10-19 Anos
272458;saopaulo,saopaulo,brazil;14;10-19 Anos
272770;saopaulo,saopaulo,brazil;22;20-29 Anos
272835;riodejaneiro,riodejaneiro,brazil;21;20-29 Anos
272908;balneariocamboriu,santacatarina,brazil;25;20-29 Anos
272976;curitiba,parana,brazil;30;30-39 Anos
273189;governadorvaladares,minasgerais,brazil;49;40-49 Anos
273330;aracaju,sergipe,brazil;49;40-49 Anos
273407;saopaulo,saopaulo,brazil;27;20-29 Anos
273509;belem,para,brazil;33;30-39 Anos
136510;sp,saopaulo,brazil;29;20-29 Anos
137053;belohorizonte,minasgerais,brazil;31;30-39 Anos
137088;canoas,riograndedosul,brazil;19;10-19 Anos
137353;saopaulo,saopaulo,brazil;36;30-39 Anos
137504;coimbraemportugalsaopaulonobrasil,portugal,brazil;30;30-39 Anos
137617;santamaria,riograndedosul,brazil;17;10-19 Anos
137740;brasilia,distritofederal,brazil;17;10-19 Anos
274037;salvador,bahia,brazil;42;40-49 Anos
274203;riodejaneiro,riodejaneiro,brazil;22;20-29 Anos
137870;mogiguacu,saopaulo,brazil;23;20-29 Anos
138102;saopaulo,saopaulo,brazil;53;50-59 Anos
138103;saopaulo,saopaulo,brazil;17;10-19 Anos
138178;riodejaneiro,riodejaneiro,brazil;26;20-29 Anos
138600;saopaulo,saopaulo,brazil;32;30-39 Anos
138613;taubate,saopaulo,brazil;49;40-49 Anos
138797;saojosedoriopardo,saopaulo,brazil;45;40-49 Anos
138987;brasilia,distritofederal,brazil;27;20-29 Anos
139088;portoalegre,riograndedosul,brazil;33;30-39 Anos
139307;maringa,parana,brazil;32;30-39 Anos
139308;rubiataba,goias,brazil;16;10-19 Anos
139311;campinas,yukonterritory,brazil;21;20-29 Anos
139364;florianopolis,santacatarina,brazil;53;50-59 Anos
274323;riodejaneiro,riodejaneiro,brazil;60;60-69 Anos
274600;santaritadopassaquatro,saopaulo,brazil;29;20-29 Anos
275037;saobernardodocampo,saopaulo,brazil;19;10-19 Anos
275046;saopaulo,saopaulo,brazil;20;20-29 Anos
275290;niteroi,riodejaneiro,brazil;60;60-69 Anos
